michael carey	13 
tokensbasic phase1	21 
tokenbasic phase2	21 
ridpairsimprov	21 22 
recordpairsbasic phase1	21 
recordpairsbasic phase2	21 
differ	21 
replac	21 
fuzzyjoin	21 
abov	21 
command	21 22 
name	25 21 
exampl	21 22 
one phas	21 
tokensimprov	21 22 
get	21 22 
list	21 22 
all	21 
pair	21 
their	21 
format	21 
1 threshold record2	21 
record1	21 
record2	21 
same	21 
between	21 
raw	21 
directori	21 22 
gener	25 21 22 
record dblp threshold record citeseerx	21 
record dblp	21 
record citeseerx	21 
xml	24 21 22 
argument	21 
configur	21 
paramet	21 
specifi	21 22 
locat	21 
moreov	21 
addit	21 
option	21 22 
default	21 
constant	21 
defin	21 
follow	21 
structur	21 
raw 000	21 
recordsbulk	21 
repres	21 
000	21 
001	21 
etc	21 
mani	21 
recordsbulk 000	21 
recordsbulk 001	21 
records n	21 
denot	21 
rest	21 
mean	21 
fuzzy join	21 
phase1	21 
prefix	21 
some	21 23 
task	21 
i e	21 
tokensbas	21 
recordpairsbas	21 
tabl	21 
few	21 
carri	21 
differenti	21 
them	21 
dataset r	21 
dataset 	21 
csx	21 
assum	21 
delimit	21 
chang	25 21 
recordgener	21 
stat	21 
9	21 
fuzzyjoin data copi	21 
while	21 
fuzzyjoin data norecord	21 
valu	21 22 
ran	21 
recordbuild	21 
cannot	21 
divid	21 
modul	21 
date	25 21 22 
2011 04 12	25 21 22 
09 58 14	21 
pdt	25 21 22 
html	25 21 22 
org mod	25 21 22 
7 4	25 21 22 
emac	25 21 22 
24	25 21 22 
quick	21 
3 1	21 
3 2	21 
3 2 1	21 
upload	21 
3 2 2	21 
3 2 3	21 
3 2 4	21 
3 3	21 
3 3 1	21 
3 3 2	21 
3 3 3	21 
3 3 4	21 
4	21 
6	21 
fuzzyjoin cor	21 
fuzzyjoin core src main java	21 
edu uci ics fuzzyjoin	21 
edu uci ics fuzzyjoin similar	21 
filter	21 
edu uci ics fuzzyjoin invertedlist	21 
invert	21 
edu uci ics fuzzyjoin recordgroup	21 
group	21 
edu uci ics fuzzyjoin token	21 
edu uci ics fuzzyjoin tokenord	21 
fuzzyjoin hadoop	21 
fuzzyjoin hadoop src main java	21 
edu uci ics fuzzyjoin hadoop	21 
edu uci ics fuzzyjoin hadoop datagen	21 
edu uci ics fuzzyjoin hadoop recordpair	21 
edu uci ics fuzzyjoin hadoop ridpair	21 
edu uci ics fuzzyjoin hadoop ridrecordpair	21 
edu uci ics fuzzyjoin hadoop token	21 
2 what should i do if i get java lang outofmemoryerror java heap space in the map phase of stage 2 kernel ridpairsimproved or ridpairsppjoin	22 
3 where can i get more help	22 
tokesbas	22 
produc	22 
tokens n	22 
hdf	22 
reason	22 
outofmemoryerror	22 
might	22 
fact	22 
thing	22 
check	22 
whether	22 
right	22 
your	22 
word	22 
then	22 
would	22 
appropri	22 
otherwis	22 
contigu	22 
charact	22 
n gram	22 
dfuzzyjoin token	22 
email	22 
question	22 
09 58 19	22 
java lang outofmemoryerror	22 
heap	22 
space	22 
map	22 
phase	22 
ridpairsppjoin	22 
help	22 
asterix support	23 
compani	23 
organ	23 
contribut	23 
way	23 
uc bas	23 
phd	24 
sort	24 
ali	24 
alsuliman	24 
